epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8766,0.96455,1.96808,1.54458,0.12393,0.27034,0.10775,0.03856,2.19568,2.62045,2.94137,0.000546704,0.000546704,0.000546704
2,23.8346,1.14015,1.63204,1.67018,0.2824,0.5101,0.26129,0.07885,2.23845,3.52211,3.43407,0.00109146,0.00109146,0.00109146
3,34.5653,1.27228,1.66277,1.76772,0.4516,0.61496,0.43136,0.20516,1.70039,2.53999,3.04582,0.00162521,0.00162521,0.00162521
4,44.9896,1.25596,1.62949,1.73468,0.21891,0.54611,0.22025,0.0793,2.00943,2.36222,2.94269,0.00161749,0.00161749,0.00161749
5,55.4105,1.26144,1.63093,1.7577,0.25527,0.39852,0.22927,0.06275,2.60219,2.48669,3.33796,0.00160099,0.00160099,0.00160099
6,65.8617,1.26787,1.59183,1.74603,0.51646,0.71556,0.60944,0.33847,1.45915,1.57385,2.37997,0.00158448,0.00158448,0.00158448
7,76.5808,1.2036,1.56404,1.70384,0.52885,0.64444,0.54645,0.28273,1.45459,1.51588,2.447,0.00156798,0.00156798,0.00156798
8,87.1953,1.12617,1.49353,1.65278,0.47582,0.51611,0.4313,0.21004,1.66672,1.93175,2.62679,0.00155148,0.00155148,0.00155148
9,97.597,1.10539,1.46439,1.62637,0.3829,0.56576,0.4291,0.18901,1.93551,2.0872,2.72192,0.00153497,0.00153497,0.00153497
10,108.064,1.11908,1.48657,1.63083,0.40402,0.74806,0.511,0.27309,1.52629,1.45831,2.55147,0.00151847,0.00151847,0.00151847
11,118.703,1.17711,1.43015,1.70552,0.18856,0.28667,0.18365,0.0476,2.53855,2.60718,3.29091,0.00150197,0.00150197,0.00150197
12,129.323,1.09079,1.39671,1.6308,0.55456,0.61274,0.58016,0.31542,1.49988,1.58905,2.27925,0.00148546,0.00148546,0.00148546
13,139.816,1.07251,1.37855,1.62026,0.59088,0.57194,0.57378,0.33055,1.47452,1.56832,2.2269,0.00146896,0.00146896,0.00146896
14,150.332,1.09596,1.35681,1.61668,0.46648,0.38222,0.39425,0.19387,1.59039,2.17126,2.46791,0.00145246,0.00145246,0.00145246
15,160.745,1.04516,1.34923,1.58418,0.59384,0.74833,0.64782,0.36287,1.46905,1.48966,2.41304,0.00143595,0.00143595,0.00143595
16,171.298,1.05483,1.31161,1.58118,0.68343,0.66565,0.66547,0.39687,1.33317,1.5126,2.18391,0.00141945,0.00141945,0.00141945
17,181.81,0.997,1.32547,1.54213,0.47951,0.66444,0.6376,0.35796,1.51966,1.58674,2.41663,0.00140295,0.00140295,0.00140295
18,192.325,1.02897,1.26724,1.57324,0.74381,0.67109,0.74658,0.43545,1.31536,1.1651,2.07802,0.00138644,0.00138644,0.00138644
19,202.764,1.04711,1.24553,1.57321,0.66634,0.69397,0.66982,0.39999,1.36408,1.351,2.27933,0.00136994,0.00136994,0.00136994
20,213.29,0.97609,1.21873,1.51844,0.68006,0.70111,0.73853,0.41816,1.30295,1.23233,2.25971,0.00135344,0.00135344,0.00135344
21,223.773,0.93977,1.1907,1.5063,0.6324,0.73876,0.67576,0.38122,1.48367,1.24047,2.64433,0.00133693,0.00133693,0.00133693
22,234.277,0.97176,1.22309,1.52534,0.70293,0.66407,0.69212,0.42716,1.23003,1.24392,2.05785,0.00132043,0.00132043,0.00132043
23,244.853,0.91214,1.19186,1.47553,0.69843,0.70913,0.72486,0.45573,1.32605,1.16077,2.14856,0.00130393,0.00130393,0.00130393
24,255.547,0.92357,1.17102,1.48643,0.74717,0.69954,0.73971,0.47893,1.23446,1.15762,2.06243,0.00128742,0.00128742,0.00128742
25,266.153,0.93039,1.19051,1.50116,0.61162,0.69369,0.71714,0.41262,1.38263,1.30006,2.23415,0.00127092,0.00127092,0.00127092
26,276.571,0.88492,1.12384,1.45147,0.6894,0.69667,0.71595,0.43704,1.27861,1.26615,2.06805,0.00125442,0.00125442,0.00125442
27,287.006,0.91037,1.12752,1.46798,0.73162,0.73167,0.75309,0.46593,1.30977,1.20349,2.25435,0.00123791,0.00123791,0.00123791
28,297.478,0.89483,1.08888,1.46115,0.80732,0.81305,0.83452,0.49153,1.30326,1.0828,2.06046,0.00122141,0.00122141,0.00122141
29,307.902,0.89382,1.08909,1.45069,0.6717,0.76471,0.75823,0.48735,1.15987,1.19508,2.00057,0.00120491,0.00120491,0.00120491
30,318.448,0.92053,1.14863,1.49087,0.72047,0.78342,0.76812,0.47955,1.2382,1.12218,2.13839,0.0011884,0.0011884,0.0011884
31,328.817,0.88151,1.09089,1.4289,0.81653,0.76556,0.81501,0.51644,1.23163,1.01501,2.07641,0.0011719,0.0011719,0.0011719
