Province,Commodity,Phase,Price,Date
Quezon,"RICE, SPECIAL",Second Phase May 2025,53,30/05/2025
Quezon,"RICE, SPECIAL",First Phase Jun 2025,53,15/06/2025
Quezon,"RICE, SPECIAL",Second Phase Jun 2025,53,30/05/2025
Quezon,"RICE, WELL MILLED",Second Phase May 2025,47,30/05/2025
Quezon,"RICE, WELL MILLED",First Phase Jun 2025,47,15/06/2025
Quezon,"RICE, WELL MILLED",Second Phase Jun 2025,46.5,30/05/2025
Quezon,"RICE, REGULAR MILLED",Second Phase May 2025,42.5,30/05/2025
Quezon,"RICE, REGULAR MILLED",First Phase Jun 2025,43,15/06/2025
Quezon,"RICE, REGULAR MILLED",Second Phase Jun 2025,41,30/05/2025
Quezon,"BEEF, MEAT WITH BONES",Second Phase May 2025,400,30/05/2025
Quezon,"BEEF, MEAT WITH BONES",First Phase Jun 2025,400,15/06/2025
Quezon,"BEEF, MEAT WITH BONES",Second Phase Jun 2025,400,30/05/2025
Quezon,"BEEF, PURE MEAT",Second Phase May 2025,500,30/05/2025
Quezon,"BEEF, PURE MEAT",First Phase Jun 2025,500,15/06/2025
Quezon,"BEEF, PURE MEAT",Second Phase Jun 2025,500,30/05/2025
Quezon,"PORK, KASIM",Second Phase May 2025,400,30/05/2025
Quezon,"PORK, KASIM",First Phase Jun 2025,400,15/06/2025
Quezon,"PORK, KASIM",Second Phase Jun 2025,400,30/05/2025
Quezon,"PORK, LIEMPO",Second Phase May 2025,420,30/05/2025
Quezon,"PORK, LIEMPO",First Phase Jun 2025,420,15/06/2025
Quezon,"PORK, LIEMPO",Second Phase Jun 2025,420,30/05/2025
Quezon,"PORK, MEAT WITH BONES",Second Phase May 2025,390,30/05/2025
Quezon,"PORK, MEAT WITH BONES",First Phase Jun 2025,390,15/06/2025
Quezon,"PORK, MEAT WITH BONES",Second Phase Jun 2025,390,30/05/2025
Quezon,DRESSED CHICKEN,Second Phase May 2025,220,30/05/2025
Quezon,DRESSED CHICKEN,First Phase Jun 2025,220,15/06/2025
Quezon,DRESSED CHICKEN,Second Phase Jun 2025,240,30/05/2025
Quezon,"CHICKEN EGG, MED. (per piece)",Second Phase May 2025,8.5,30/05/2025
Quezon,"CHICKEN EGG, MED. (per piece)",First Phase Jun 2025,8.17,15/06/2025
Quezon,"CHICKEN EGG, MED. (per piece)",Second Phase Jun 2025,8.13,30/05/2025
Quezon,AMPALAYA,Second Phase May 2025,100,30/05/2025
Quezon,AMPALAYA,First Phase Jun 2025,120,15/06/2025
Quezon,AMPALAYA,Second Phase Jun 2025,120,30/05/2025
Quezon,CABBAGE,Second Phase May 2025,120,30/05/2025
Quezon,CABBAGE,First Phase Jun 2025,110,15/06/2025
Quezon,CABBAGE,Second Phase Jun 2025,100,30/05/2025
Quezon,CARROT,Second Phase May 2025,100,30/05/2025
Quezon,CARROT,First Phase Jun 2025,110,15/06/2025
Quezon,CARROT,Second Phase Jun 2025,120,30/05/2025
Quezon,EGGPLANT,Second Phase May 2025,70,30/05/2025
Quezon,EGGPLANT,First Phase Jun 2025,80,15/06/2025
Quezon,EGGPLANT,Second Phase Jun 2025,80,30/05/2025
Quezon,"PECHAY, NATIVE",Second Phase May 2025,100,30/05/2025
Quezon,"PECHAY, NATIVE",First Phase Jun 2025,100,15/06/2025
Quezon,"PECHAY, NATIVE",Second Phase Jun 2025,100,30/05/2025
Quezon,STRING BEANS,Second Phase May 2025,120,30/05/2025
Quezon,STRING BEANS,First Phase Jun 2025,120,15/06/2025
Quezon,STRING BEANS,Second Phase Jun 2025,140,30/05/2025
Quezon,TOMATO,Second Phase May 2025,70,30/05/2025
Quezon,TOMATO,First Phase Jun 2025,60,15/06/2025
Quezon,TOMATO,Second Phase Jun 2025,80,30/05/2025
Quezon,WHITE POTATO,Second Phase May 2025,100,30/05/2025
Quezon,WHITE POTATO,First Phase Jun 2025,100,15/06/2025
Quezon,WHITE POTATO,Second Phase Jun 2025,90,30/05/2025
