Province,Commodity,Phase,Price,Date
Quezon,AMPALAYA,Second Phase May 2025,100,2025-05-30
Quezon,AMPALAYA,First Phase Jun 2025,120,2025-06-15
Quezon,AMPALAYA,Second Phase Jun 2025,120,2025-05-30
Quezon,CABBAGE,Second Phase May 2025,120,2025-05-30
Quezon,CABBAGE,First Phase Jun 2025,110,2025-06-15
Quezon,CABBAGE,Second Phase Jun 2025,100,2025-05-30
Quezon,CARROT,Second Phase May 2025,100,2025-05-30
Quezon,CARROT,First Phase Jun 2025,110,2025-06-15
Quezon,CARROT,Second Phase Jun 2025,120,2025-05-30
Quezon,EGGPLANT,Second Phase May 2025,70.0,2025-05-30
Quezon,EGGPLANT,First Phase Jun 2025,80.0,2025-06-15
Quezon,EGGPLANT,Second Phase Jun 2025,80.0,2025-05-30
Quezon,"PECHAY, NATIVE",Second Phase May 2025,100,2025-05-30
Quezon,"PECHAY, NATIVE",First Phase Jun 2025,100,2025-06-15
Quezon,"PECHAY, NATIVE",Second Phase Jun 2025,100,2025-05-30
Quezon,STRING BEANS,Second Phase May 2025,120,2025-05-30
Quezon,STRING BEANS,First Phase Jun 2025,120,2025-06-15
Quezon,STRING BEANS,Second Phase Jun 2025,140,2025-05-30
Quezon,TOMATO,Second Phase May 2025,70,2025-05-30
Quezon,TOMATO,First Phase Jun 2025,60,2025-06-15
Quezon,TOMATO,Second Phase Jun 2025,80,2025-05-30
Quezon,WHITE POTATO,Second Phase May 2025,100,2025-05-30
Quezon,WHITE POTATO,First Phase Jun 2025,100,2025-06-15
Quezon,WHITE POTATO,Second Phase Jun 2025,90,2025-05-30
