Province,Commodity,Phase,Price,Date
Quezon,"BEEF, MEAT WITH BONES",Second Phase May 2025,400,2025-05-30
Quezon,"BEEF, MEAT WITH BONES",First Phase Jun 2025,400,2025-06-15
Quezon,"BEEF, MEAT WITH BONES",Second Phase Jun 2025,400,2025-05-30
Quezon,"BEEF, PURE MEAT",Second Phase May 2025,500,2025-05-30
Quezon,"BEEF, PURE MEAT",First Phase Jun 2025,500,2025-06-15
Quezon,"BEEF, PURE MEAT",Second Phase Jun 2025,500,2025-05-30
Quezon,"PORK, KASIM",Second Phase May 2025,400,2025-05-30
Quezon,"PORK, KASIM",First Phase Jun 2025,400,2025-06-15
Quezon,"PORK, KASIM",Second Phase Jun 2025,400,2025-05-30
Quezon,"PORK, LIEMPO",Second Phase May 2025,420,2025-05-30
Quezon,"PORK, LIEMPO",First Phase Jun 2025,420,2025-06-15
Quezon,"PORK, LIEMPO",Second Phase Jun 2025,420,2025-05-30
Quezon,"PORK, MEAT WITH BONES",Second Phase May 2025,390,2025-05-30
Quezon,"PORK, MEAT WITH BONES",First Phase Jun 2025,390,2025-06-15
Quezon,"PORK, MEAT WITH BONES",Second Phase Jun 2025,390,2025-05-30
Quezon,DRESSED CHICKEN,Second Phase May 2025,220,2025-05-30
Quezon,DRESSED CHICKEN,First Phase Jun 2025,220,2025-06-15
Quezon,DRESSED CHICKEN,Second Phase Jun 2025,240,2025-05-30
Quezon,"CHICKEN EGG, MED. (per piece)",Second Phase May 2025,8.5,2025-05-30
Quezon,"CHICKEN EGG, MED. (per piece)",First Phase Jun 2025,8.17,2025-06-15
Quezon,"CHICKEN EGG, MED. (per piece)",Second Phase Jun 2025,8.13,2025-05-30
